INLINE ClassBMagList,Bmagic0,Bmagic1,Bmagic2,Bmagic3
None,0,0,0,0
Ephraim Lord,0,0,0,0
Eirika Lord,0,0,0,0
Ephraim Master Lord,0,0,0,0
Eirika Master Lord,0,0,0,0
Cavalier,0,0,0,0
Cavalier (F),0,0,0,0
Paladin,0,0,0,0
Paladin (F),0,0,0,0
Armour Knight,0,0,0,0
Armour Knight (F),0,0,0,0
General,0,0,0,0
General (F),0,0,0,0
Thief,0,0,0,0
Manakete,0,0,0,0
Mercenary,0,0,0,0
Mercenary (F),0,0,0,0
Hero,0,0,0,0
Hero (F),0,0,0,0
Myrmidon,0,0,0,0
Myrmidon (F),0,0,0,0
Swordmaster,0,0,0,0
Swordmaster (F),0,0,0,0
Assassin,0,0,0,0
Assassin (F),0,0,0,0
Archer,0,0,0,0
Archer (F),0,0,0,0
Sniper,0,0,0,0
Sniper (F),0,0,0,0
Ranger,0,0,0,0
Ranger (F),0,0,0,0
Wyvern Rider,0,0,0,0
Wyvern Rider (F),0,0,0,0
Wyvern Lord,0,0,0,0
Wyvern Lord (F),0,0,0,0
Wyvern Knight,0,0,0,0
Wyvern Knight (F),0,0,0,0
Mage,Fire,0,0,0
Mage (F),Fire,0,0,0
Sage,0,0,0,0
Sage (F),0,0,0,0
Mage Knight,0,0,0,0
Mage Knight (F),0,0,0,0
Bishop,0,0,0,0
Bishop (F),0,0,0,0
Shaman,0,0,0,0
Shaman (F),0,0,0,0
Druid,0,0,0,0
Druid (F),0,0,0,0
Summoner,0,0,0,0
Summoner (F),0,0,0,0
Rogue,0,0,0,0
Gorgon Egg,0,0,0,0
Great Knight,0,0,0,0
Great Knight (F),0,0,0,0
Recruit (2),0,0,0,0
Journeyman (3),0,0,0,0
Pupil (3),0,0,0,0
Recruit (3),0,0,0,0
Manakete,0,0,0,0
Manakete (F),0,0,0,0
Journeyman (1),0,0,0,0
Pupil (1),0,0,0,0
Fighter,0,0,0,0
Warrior,0,0,0,0
Brigand,0,0,0,0
Pirate,0,0,0,0
Berserker,0,0,0,0
Monk,0,0,0,0
Priest,0,0,0,0
Bard,0,0,0,0
Recruit (1),0,0,0,0
Pegasus Knight,0,0,0,0
Falcon Knight,0,0,0,0
Cleric,0,0,0,0
Troubadour,0,0,0,0
Valkyrie,0,0,0,0
Dancer,0,0,0,0
Soldier,0,0,0,0
Necromancer,0,0,0,0
Fleet,0,0,0,0
Phantom,0,0,0,0
Revenant,0,0,0,0
Entombed,0,0,0,0
Bonewalker,0,0,0,0
Bonewalker (Bow),0,0,0,0
Wight,0,0,0,0
Wight (Bow),0,0,0,0
Bael,0,0,0,0
Elder Bael,0,0,0,0
Cyclops,0,0,0,0
Mauthe Doog,0,0,0,0
Gwyllgi,0,0,0,0
Tarvos,0,0,0,0
Maelduin,0,0,0,0
Mogall,0,0,0,0
Arch Mogall,0,0,0,0
Gorgon,0,0,0,0
Gorgon Egg,0,0,0,0
Gargoyle,0,0,0,0
Deathgoyle,0,0,0,0
Dracozombie,0,0,0,0
Demon King,0,0,0,0
Archer on Ballista,0,0,0,0
Archer on Iron Ballista,0,0,0,0
Archer on Killer Ballista,0,0,0,0
Ballista,0,0,0,0
Iron Ballista,0,0,0,0
Killer Ballista,0,0,0,0
Civilian,0,0,0,0
Civilian (F),0,0,0,0
Civilian,0,0,0,0
Civilian (F),0,0,0,0
Civilian,0,0,0,0
Civilian (F),0,0,0,0
Peer,0,0,0,0
Queen,0,0,0,0
Prince,0,0,0,0
Queen,0,0,0,0
(empty),0,0,0,0
Fallen Prince,0,0,0,0
Tent,0,0,0,0
Pontifex,0,0,0,0
Dead Peer,0,0,0,0
Cyclops,0,0,0,0
Elder Bael,0,0,0,0
Journeyman (2),0,0,0,0
Pupil (2),0,0,0,0
0x80,0,0,0,0
0x81,0,0,0,0
0x82,0,0,0,0
0x83,0,0,0,0
0x84,0,0,0,0
0x85,0,0,0,0
0x86,0,0,0,0
0x87,0,0,0,0
0x88,0,0,0,0
0x89,0,0,0,0
0x8a,0,0,0,0
0x8b,0,0,0,0
0x8c,0,0,0,0
0x8d,0,0,0,0
0x8e,0,0,0,0
0x8f,0,0,0,0
0x90,0,0,0,0
0x91,0,0,0,0
0x92,0,0,0,0
0x93,0,0,0,0
0x94,0,0,0,0
0x95,0,0,0,0
0x96,0,0,0,0
0x97,0,0,0,0
0x98,0,0,0,0
0x99,0,0,0,0
0x9a,0,0,0,0
0x9b,0,0,0,0
0x9c,0,0,0,0
0x9d,0,0,0,0
0x9e,0,0,0,0
0x9f,0,0,0,0
0xa0,0,0,0,0
0xa1,0,0,0,0
0xa2,0,0,0,0
0xa3,0,0,0,0
0xa4,0,0,0,0
0xa5,0,0,0,0
0xa6,0,0,0,0
0xa7,0,0,0,0
0xa8,0,0,0,0
0xa9,0,0,0,0
0xaa,0,0,0,0
0xab,0,0,0,0
0xac,0,0,0,0
0xad,0,0,0,0
0xae,0,0,0,0
0xaf,0,0,0,0
